EM series	continNum 	Location	pre  	post   	type    	sec-tions   	part-ner Num-ber	post1     	post2   	post3 	post4   
JSE	2452		PHCR	PHAR.	electrical	1	1	PHCR			
JSE	2456		PVR.	DA09	electrical	1	1	DA09			
JSE	2458		PVR.	PDB	electrical	1	1	PVR			
JSE	2461		AVHR	AVHL	electrical	1	1	AVHL			
JSE	2609		DVB	AVL	electrical	1	1	AVL			
JSE	2610		PVQR	DVB	electrical	1	1	PVQR			
JSE	2649		PLNR	PHAR.	electrical	1	1	PHAR			
N2U	62	Not NR	PVPL	AVBL,AQR	chemical	1	2	AVBL	AQR		
N2U	369	Not NR	ASHR	ADAR,AIAR	chemical	1	2	ADAR	AIAR		
N2U	370	Not NR	RIBR	AIZR	chemical	1	1	AIZR			
N2U	372	Not NR	AIZL	AIBR,AVER	chemical	1	2	AIBR	AVER		
N2U	373	Not NR	HSNR	RIML,ASHL	chemical	1	2	RIML	ASHL		
N2U	374	Not NR	AWAL	AFDL,ASEL	chemical	1	2	AFDL	ASEL		
N2U	375	Not NR	AVM	PVCL,AVBL	chemical	1	2	PVCL	AVBL		
N2U	377	Not NR	PVNL	AVJL,BDUR	chemical	1	2	AVJL	BDUR		
N2U	382	Not NR	ADFL	RIAL,AWBL	chemical	1	2	RIAL	AWBL		
N2U	384	Not NR	SDQR	AVAL,AIBL	chemical	1	2	AVAL	AIBL		
N2U	388	Not NR	ASER	AIYR	chemical	1	1	AIYR			
N2U	392	Not NR	AIZR	RIAR	chemical	1	1	RIAR			
N2U	395	Not NR	VB01	AIBR,RIML	chemical	1	2	AIBR	RIML		
N2U	398	Not NR	AIML	AIAL,ASGL	chemical	1	2	AIAL	ASGL		
N2U	399	Not NR	RIH	RIBL,RIAL	chemical	1	2	RIBL	RIAL		
N2U	400	Not NR	ADFL	SMBVL,RIAL	chemical	1	2	SMBVL	RIAL		
N2U	409	Not NR	RIH	RIBL,RIAL	chemical	1	2	RIBL	RIAL		
N2U	410	Not NR	AIZL	RIAL,SMBDL	chemical	1	2	RIAL	SMBDL		
N2U	414	Not NR	AIYR	RIBR,AIZR	chemical	1	2	RIBR	AIZR		
N2U	415	Not NR	AVHL	hyp,AVJL	chemical	1	2	hyp	AVJL		
N2U	417	Not NR	RICL	ADAR,RIMR	chemical	1	2	ADAR	RIMR		
N2U	418	Not NR	AIYR	RIAR	chemical	1	1	RIAR			
N2U	419	Not NR	ADFL	AIZL,RIAL	chemical	1	2	AIZL	RIAL		
N2U	420	Not NR	RIH	AIZL	chemical	1	1	AIZL			
N2U	423	Not NR	RIFL	AVBL,PVPL	chemical	1	2	AVBL	PVPL		
N2U	427	Not NR	RIAL	SMDVR,SMDDL	chemical	1	2	SMDVR	SMDDL		
N2U	430	Not NR	PVPR	PVCR	chemical	1	1	PVCR			
N2U	431	Not NR	AVM	AVBL,PVR.	chemical	1	2	AVBL	PVR		
N2U	438	Not NR	AWAL	AFDL	chemical	1	1	AFDL			
N2U	442	Not NR	RIFL	AVBL,PVPL	chemical	1	2	AVBL	PVPL		
N2U	446	Not NR	ADFL	SMBVL,RIAL	chemical	1	2	SMBVL	RIAL		
N2U	448	Not NR	PLNR	RMDVL,SMBVR	chemical	1	2	RMDVL	SMBVR		
N2U	449	Not NR	ASHR	AIAR	chemical	1	1	AIAR			
N2U	452	Not NR	ASER	AIBR,AIYR	chemical	1	2	AIBR	AIYR		
N2U	457	Not NR	AIAL	AIBL,AIML	chemical	1	2	AIBL	AIML		
N2U	458	Not NR	HSNL	AVFR,RIFL,AVFL	chemical	1	3	AVFR	RIFL	AVFL	
N2U	459	Not NR	RIFL	AVJR,AVBL	chemical	1	2	AVJR	AVBL		
N2U	461	Not NR	ALML	PVCL	chemical	1	1	PVCL			
N2U	462	Not NR	ALML	PVCL	chemical	1	1	PVCL			
N2U	463	Not NR	ALML	PVCL	chemical	1	1	PVCL			
N2U	466	Not NR	AWCL	AIBL	chemical	1	1	AIBL			
N2U	475	Not NR	RIH	RIAL,AIZL	chemical	1	2	RIAL	AIZL		
N2U	476	Not NR	AVHR	DVA,SMBDL	chemical	1	2	DVA	SMBDL		
