contin Number	EM series	Location	pre	post   	type    	sections   	partner Number	post1     	post2   	post3 	post4   
4477	N930	Not NR	RIAR	RMDDR,RMDVL	chemical	9	2	RMDDR	RMDVL		
4358	N2Y		PCCL	gonad,SPCL	chemical	9	2	gonad	SPCL		
4300	N2Y		PCCL	aobL,pobL,PCBL	chemical	9	3	aobL	pobL	PCBL	
3961	N2Y		CP06	vspL,SPVL	chemical	9	2	vspL	SPVL		
3384	N2Y		DX1	HOA,PCAL	chemical	9	2	HOA	PCAL		
3261	N2Y		PCCR	gonad	chemical	9	1	gonad			
3077	N2Y		HOB	[CP01],CA05	chemical	9	2	[CP01]	CA05		
3010	N2Y		DVE	EF2,DX3,EF1	chemical	9	3	EF2	DX3	EF1	
2690	N2Y		PHCL	PCBL,[CP03],R2BL,unk4133	chemical	9	4	PCBL	[CP03]	R2BL	unk4133
2397	N2Y		PCAR	CP08,PVX,R9AR	chemical	9	3	CP08	PVX	R9AR	
2237	N2Y		R4BL	PHCR,PVY	chemical	9	2	PHCR	PVY		
2233	N930	Not NR	ABLP-15	ABL-16	electrical	9	1	ABL-16			
2165	N2Y		CP07	PVX,PVV,CP07,PDB,EF2,R6AR	chemical	9	6	PVX	PVV	CP07	
1795	N2Y		SPVR	SPDL,DD06	chemical	9	2	SPDL	DD06		
1322	N2Y		AVFL	R1BR,EF2,PVCR	chemical	9	3	R1BR	EF2	PVCR	
1119	N2Y		R8AL	PHCR	chemical	9	1	PHCR			
1117	N2Y		R8AL	PHCL	chemical	9	1	PHCL			
1092	N2Y		HOB	PHCL,R8AL,PCAL,DX1	chemical	9	4	PHCL	R8AL	PCAL	DX1
776	N930	NR 45 deg	hyp	[hyp]	electrical	9	1	[hyp]			
763	N930	NR 45 deg	RIH	CEPDR	electrical	9	1	CEPDR			
727	N2Y		R9BL	EF2,EF1,PDB	chemical	9	3	EF2	EF1	PDB	
649	N2Y		AVFL	VA12,R5BR	chemical	9	2	VA12	R5BR		
479	N2Y		R2BL	PHCL	chemical	9	1	PHCL			
318	N2Y		PHAL	PVX,R3BL	chemical	9	2	PVX	R3BL		
317	N2Y		R3BL	EF3,R6BL,CP07	chemical	9	3	EF3	R6BL	CP07	
271	N2Y		R3BL	EF1,DX2	chemical	9	2	EF1	DX2		
65	N2Y		R2BR	EF1,unknown100,PVZ	chemical	9	3	EF1	unknown100	PVZ	
18783	N2Y		PCAR	PVX,R8AR	chemical	8	2	PVX	R8AR		
11562	N2Y		ailR	ailL	electrical	8	1	ailL			
